Bakery,Address,Latitude,Longitude,Latitude,Longtitude
My Old Place Bakery,"201 Shadeland Ave Lansdowne, PA 19050",39.9402863,-75.2877828,,
Holmesburg Bakery,"7935 Frankford Ave Philadelphia, PA 19136",40.0410115,-75.0284172,,
Baltic Bakery,"2617 E Allegheny Ave Philadelphia, PA 19134",39.9853282,-75.1031508,,
Termini Bros Bakery,"12th St & Filbert St Reading Terminal Market Philadelphia, PA 19107",39.9537075,-75.1584719,,
Tous Les Jours,"50 Yorktown Plaza Elkins Park, PA 19027",40.0788887,-75.1268316,,
Rolings Bakery,"7848 Montgomery Ave Elkins Park, PA 19027",40.0713918,-75.1267261,,
Weinrich's Bakery,"55 Easton Rd Willow Grove, PA 19090",40.1427718,-75.1156564,,
Artisan Boulanger Patissier,"29 W State St Media, PA 19063",39.9182065,-75.3904251,,
FRIEDA,"320 Walnut St Philadelphia, PA 19106",39.946989,-75.1471903,,
Marchiano's Bakery,"4653 Umbria St Philadelphia, PA 19127",40.0308856,-75.2301417,,
Gilda Cafe and Market,"300 E Girard Ave Philadelphia, PA 19125",39.9696173,-75.1315736,,
Zhong Gang Bakery,"127 N 10th St Philadelphia, PA 19107",39.954291,-75.1558868,,
McMillan's Bakery,"15 Haddon Ave Haddon Township, NJ 08108",39.9128825,-75.0559553,,
Carlo's Bakery,"2101 Walnut St Philadelphia, PA 19103",39.9509373,-75.1758708,,
Faragalli's Bakery,"1400 S 13th St Philadelphia, PA 19147",39.9326102,-75.1659563,,
Enswell,"1528 Spruce St Philadelphia, PA 19102",39.9472393,-75.1677363,,
J'aime French Café,"1644 Pine St Philadelphia, PA 19103",39.9460875,-75.1698253,,
Vibrant Coffee Roasters & Bakery,"222 W Rittenhouse Sq Fl 1 Philadelphia, PA 19103",39.9492261,-75.1733644,,
Lily Of The Valley Cupcakery and Café,"26 W Maplewood Mall Philadelphia, PA 19144",40.0343502,-75.1746646,,
Stoltzfus Baked Goods,"120 Coulter Ave Ardmore, PA 19003",40.0075252,-75.285988,,
The Night Kitchen,"7725 Germantown Ave Philadelphia, PA 19118",40.0683288,-75.1978484,,
Twisted Grounds,"47 N 20th St Philadelphia, PA 19130",39.9545206,-75.1730131,,
Merzbacher's of Germantown,"4530 Germantown Ave Philadelphia, PA 19144",40.024239,-75.1598736,,
Paris Baguette,"3816 Chestnut St Unit 9 Philadelphia, PA 19104",39.9552373,-75.1995565,,
Cafe Roma Bakery,"6147 Ridge Ave Philadelphia, PA 19128",40.0350436,-75.2163778,,
Silvia Bakery,"2530 N. 2nd St Philadelphia, PA 19133",39.9891986,-75.1358617,,
Suraya,"1528 Frankford Ave Philadelphia, PA 19125",39.9736936,-75.1337925,,
Nutmeg Cake Design,"220 Krams Ave Philadelphia, PA 19127",40.0305802,-75.2256382,,
Maria's Prime Time Bakery,"233 Morton Ave Folsom, PA 19033",39.8855905,-75.3310602,,
Conshohocken Italian Bakery,"79 Jones St Conshohocken, PA 19428",40.0746568,-75.2957081,,
Commons Café,"1 Logan Square Philadelphia, PA 19103",39.9569323,-75.1702705,,
A La Mousse,"920 Montgomery Ave Narberth, PA 19072",40.0113601,-75.2610549,,
Huda,"32 S 18th St Philadelphia, PA 19103",39.9521873,-75.1704557,,
More Sugar,"125 N 11th St Philadelphia, PA 19107",39.9547447,-75.1575176,,
Second Daughter Baking,"1901 S 9th St Ste 403 Philadelphia, PA 19148",39.9252954,-75.159828,,
NaturallySweet Desserts,"2041 Green St Fl 2 Philadelphia, PA 19130",39.9652824,-75.1722423,,
Philly Cannoli King,"1205 S 9th St Philadelphia, PA 19147",39.9341119,-75.1588541,,
Ben-Gad Baking Company,"317 North Broad St Philadelphia, PA 19107",39.9586585,-75.161985,,
The Franklin Fountain,"116 Market St Philadelphia, PA 19106",39.9495617,-75.1428765,,
Colombian Bakery,"4944 N 5th St Philadelphia, PA 19120",40.0270868,-75.1328179,,
Sweet T's Bakeshop,"14 Kings Ct Haddonfield, NJ 08033",39.897579,-75.032402,,
Vanilya,"1611 E Passyunk Ave Philadelphia, PA 19148",39.9295452,-75.1635787,,
The Cheesecake Lady,"910 Township Line Rd Elkins Park, PA 19027",40.0814585,-75.1175008,,
Musette,"2441 Aspen St Philadelphia, PA 19130",39.9690246,-75.1781931,,
The Bakery,"2300 S 3rd St Philadelphia, PA 19148",39.9194849,-75.1522841,,
High Fidelity Bakery,"1929 S 17th St Philadelphia, PA 19145",39.9267275,-75.1739458,,
Strawberry Bakery,"365 Lancaster Ave Malvern, PA 19355",40.0388517,-75.5535983,,
Nothing Bundt Cakes,"333 E Lancaster Ave Wynnewood, PA 19096",40.002402,-75.27771,,
Yummy Yummy,"52 N 10th St Philadelphia, PA 19107",39.9533132,-75.1564462,,
Two Sweet Boutique,"1526 Hurffville Rd Deptford, NJ 08096",39.8070495,-75.0945593,,
Desserts by Sprinkled Sweetness,"510 S 5th St Philadelphia, PA 19147",39.9425031,-75.1507867,,
Creme Brulee Bistro & Cafe,"1800 S 4th St Philadelphia, PA 19148",39.9258553,-75.1528429,,
Termini Bros Bakery,"1538 Packer Ave Philadelphia, PA 19145",39.9113515,-75.1753515,,
Stoltzfus Family Foods,"120 Coulter Ave Ardmore, PA 19003",40.0075252,-75.285988,,
High Street Philadelphia,"101 S 9th St Philadelphia, PA 19107",39.9494611,-75.1554684,,
Carangi Baking,"2655 S Iseminger St Philadelphia, PA 19148",39.9166422,-75.1685158,,
Tiffany's Bakery,"1001 Market St Philadelphia, PA 19107",39.9518027,-75.1568645,,
El Café,"31 S 19th St Philadelphia, PA 19103",39.9525105,-75.1717214,,
Asia Bakery,"115 N 10th St Philadelphia, PA 19107",39.9540019,-75.1560283,,
ICI Macarons & Cafe - Temp. CLOSED,"11 N 3rd St Philadelphia, PA 19106",39.950653,-75.1453829,,
Cakeposer,"43 E Lancaster Ave Paoli, PA 19301",40.0424007,-75.4814873,,
Metropolitan Bakery,"4013 Walnut St Philadelphia, PA 19104",39.954332,-75.2033585,,
Crust Vegan Bakery,"4409 Main St Philadelphia, PA 19127",40.0261433,-75.2249568,,
Fritz's Bakery,"4201 Neshaminy Blvd Bensalem, PA 19020",40.1360039,-74.9508356,,
Cuor di Caffè,"100 Market St Philadelphia, PA 19106",39.9495456,-75.1423249,,
Famous 4th Street Cookie - Ridge Avenue,"4177 Ridge Ave Philadelphia, PA 19129",40.0085583,-75.1932206,,
Talula's Daily,"208 W Washington Square Philadelphia, PA 19106",39.9472898,-75.1536263,,
Brown Sugar Bakery & Cafe,"219 S 52nd St Philadelphia, PA 19139",39.956403,-75.2253664,,
Gino's Bakery,"7142 Frankford Ave Philadelphia, PA 19135",40.0355296,-75.04376,,
Traub's Bakery,"1020 Lincoln Ave Prospect Park, PA 19076",39.8863918,-75.3094662,,
Tous Les Jours,"393 West Lancaster Ave Haverford, PA 19041",40.0131423,-75.3009932,,
Flakely,"220 Krams Ave Philadelphia, PA 19127",40.0305802,-75.2256382,,
LeBus Bakery Outlet,"479 Shoemaker Rd King of Prussia, PA 19406",40.0839812,-75.3518759,,
La Madeleine French Bakery & Cafe,"1101 Market St Philadelphia, PA 19107",39.9521671,-75.1584143,,
Sweet As Fudge Candy Shoppe,"12th & Arch St Reading Terminal Market Philadelphia, PA 19107",39.9537075,-75.1584719,,
High Point Cafe,"602 Carpenter Ln Philadelphia, PA 19119",40.046183,-75.1958735,,
Little Susie's Coffee & Pie,"2532 E Lehigh Ave Philadelphia, PA 19125",39.980073,-75.1164587,,
Pop's Homemade Water Ice,"1337 W Oregon Ave Philadelphia, PA 19148",39.9168991,-75.1704066,,
Jimmies Cupcake,"Philadelphia, PA 19004",40.0131418,-75.2304038,,
T & F Farmers Pride,"8101 Ridge Ave Philadelphia, PA 19128",40.0571691,-75.2357067,,
Old Nelson Food Company,"129 S 30th St Philadelphia, PA 19104",39.9527663,-75.1836884,,
Paris Baguette,"6201 N Front St Philadelphia, PA 19120",40.0445123,-75.1176342,,
Queen Village Food Market & Deli,"629 South 4th St Philadelphia, PA 19147",39.9408249,-75.1492124,,
La Colombe,"8500 Essington Ave Philadelphia, PA 19153",39.8759591,-75.2436064,,
Netcost Market,"2417 Welsh Rd Philadelphia, PA 19114",40.0722624,-75.0314503,,
