"ZIP
Code",erap_fmr_br0,erap_fmr_br1,erap_fmr_br2,erap_fmr_br3,erap_fmr_br4,year,,,
98213,1674,1739,2044,2796,3285,2022,,,
98223,1674,1739,2044,2796,3285,2022,,,
98224,1674,1739,2044,2796,3285,2022,,,
98241,1674,1739,2044,2796,3285,2022,,,
98251,1674,1739,2044,2796,3285,2022,,,
98252,1674,1739,2044,2796,3285,2022,,,
98256,1674,1739,2044,2796,3285,2022,,,
98258,1830,1910,2240,3060,3600,2022,,,
98259,1674,1739,2044,2796,3285,2022,,,
98270,1674,1739,2044,2796,3285,2022,,,
98271,1674,1739,2044,2796,3285,2022,,,
98272,1674,1739,2044,2796,3285,2022,,,
98275,1830,1910,2240,3060,3600,2022,,,
98282,1674,1739,2044,2796,3285,2022,,,
98287,1674,1739,2044,2796,3285,2022,,,
98288,1674,1739,2044,2796,3285,2022,,,
98290,1674,1739,2044,2796,3285,2022,,,
98291,1674,1739,2044,2796,3285,2022,,,
98292,1674,1739,2044,2796,3285,2022,,,
98293,1674,1739,2044,2796,3285,2022,,,
98294,1674,1739,2044,2796,3285,2022,,,
98296,2100,2190,2570,3520,4130,2022,,,
98354,1674,1739,2044,2796,3285,2022,,,
98372,1674,1739,2044,2796,3285,2022,,,
98422,1674,1739,2044,2796,3285,2022,,,
98001,2050,2110,2470,3320,3870,2023,,,
98002,2042,2100,2455,3297,3847,2023,,,
98003,2042,2100,2455,3297,3847,2023,,,
98004,3060,3150,3680,4940,5770,2023,,,
98005,2400,2470,2890,3880,4530,2023,,,
98006,2870,2950,3450,4630,5410,2023,,,
98007,2420,2490,2910,3910,4560,2023,,,
98008,2480,2550,2980,4000,4670,2023,,,
98009,2090,2150,2510,3370,3930,2023,,,
98010,2042,2100,2455,3297,3847,2023,,,
98011,2170,2230,2610,3500,4090,2023,,,
98012,2230,2290,2680,3600,4200,2023,,,
98014,2042,2100,2455,3297,3847,2023,,,
98015,2090,2150,2510,3370,3930,2023,,,
98019,2600,2670,3120,4190,4890,2023,,,
98020,2070,2130,2490,3340,3900,2023,,,
98021,2430,2500,2920,3920,4580,2023,,,
98022,2042,2100,2455,3297,3847,2023,,,
98023,2042,2100,2455,3297,3847,2023,,,
98024,2250,2310,2700,3630,4230,2023,,,
98025,2090,2150,2510,3370,3930,2023,,,
98026,2042,2100,2455,3297,3847,2023,,,
98027,2360,2430,2840,3810,4450,2023,,,
98028,2042,2100,2455,3297,3847,2023,,,
98029,2870,2950,3450,4630,5410,2023,,,
98030,2042,2100,2455,3297,3847,2023,,,
98031,2042,2100,2455,3297,3847,2023,,,
98032,2042,2100,2455,3297,3847,2023,,,
98033,2690,2760,3230,4340,5060,2023,,,
98034,2300,2370,2770,3720,4340,2023,,,
98035,2090,2150,2510,3370,3930,2023,,,
98036,2042,2100,2455,3297,3847,2023,,,
98037,2042,2100,2455,3297,3847,2023,,,
98038,2470,2540,2970,3990,4650,2023,,,
98039,2700,2770,3240,4350,5080,2023,,,
98040,2660,2740,3200,4300,5010,2023,,,
98041,2090,2150,2510,3370,3930,2023,,,
98042,2180,2240,2620,3520,4110,2023,,,
98043,2042,2100,2455,3297,3847,2023,,,
98045,2080,2140,2500,3360,3920,2023,,,
98046,2042,2100,2455,3297,3847,2023,,,
98047,2042,2100,2455,3297,3847,2023,,,
98050,2320,2390,2790,3750,4380,2023,,,
98051,2042,2100,2455,3297,3847,2023,,,
98052,2550,2630,3070,4120,4810,2023,,,
98053,2690,2770,3240,4350,5080,2023,,,
98055,2150,2220,2590,3480,4060,2023,,,
98056,2042,2100,2455,3297,3847,2023,,,
98057,2042,2100,2455,3297,3847,2023,,,
98058,2080,2140,2500,3360,3920,2023,,,
98059,2270,2340,2730,3670,4280,2023,,,
98062,2090,2150,2510,3370,3930,2023,,,
98063,2090,2150,2510,3370,3930,2023,,,
98064,2090,2150,2510,3370,3930,2023,,,
98065,2530,2600,3040,4080,4760,2023,,,
98068,2042,2100,2455,3297,3847,2023,,,
98070,2042,2100,2455,3297,3847,2023,,,
98071,2090,2150,2510,3370,3930,2023,,,
98072,2400,2470,2890,3880,4530,2023,,,
98073,2090,2150,2510,3370,3930,2023,,,
98074,2880,2960,3460,4650,5420,2023,,,
98075,3060,3150,3680,4940,5770,2023,,,
98077,2560,2630,3080,4140,4830,2023,,,
98082,2042,2100,2455,3297,3847,2023,,,
98083,2090,2150,2510,3370,3930,2023,,,
98087,2042,2100,2455,3297,3847,2023,,,
98089,2090,2150,2510,3370,3930,2023,,,
98092,2042,2100,2455,3297,3847,2023,,,
98093,2090,2150,2510,3370,3930,2023,,,
98101,2890,2980,3480,4670,5450,2023,,,
98102,2400,2460,2880,3870,4510,2023,,,
98103,2470,2540,2970,3990,4650,2023,,,
98104,2042,2100,2455,3297,3847,2023,,,
98105,2250,2310,2700,3630,4230,2023,,,
98106,2042,2100,2455,3297,3847,2023,,,
98107,2430,2500,2920,3920,4580,2023,,,
98108,2042,2100,2455,3297,3847,2023,,,
98109,2850,2930,3430,4610,5380,2023,,,
98110,2042,2100,2455,3297,3847,2023,,,
98111,2090,2150,2510,3370,3930,2023,,,
98112,2180,2240,2620,3520,4110,2023,,,
98113,2090,2150,2510,3370,3930,2023,,,
98114,2090,2150,2510,3370,3930,2023,,,
98115,2330,2400,2800,3760,4390,2023,,,
98116,2150,2210,2580,3460,4040,2023,,,
98117,2250,2320,2710,3640,4250,2023,,,
98118,2042,2100,2455,3297,3847,2023,,,
98119,2220,2280,2670,3590,4180,2023,,,
98121,3060,3150,3680,4940,5770,2023,,,
98122,2440,2510,2930,3930,4590,2023,,,
98124,2090,2150,2510,3370,3930,2023,,,
98125,2150,2220,2590,3480,4060,2023,,,
98126,2042,2100,2455,3297,3847,2023,,,
98127,2090,2150,2510,3370,3930,2023,,,
98131,2090,2150,2510,3370,3930,2023,,,
98133,2042,2100,2455,3297,3847,2023,,,
